,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,view_history,rt,response,condition
1,,,,,,image-button-response,14,21191,0.0-3.0-1.0-0.0,,510.0,-1.0,1.0
2,,,,,,image-button-response,15,21356,0.0-3.0-1.0-1.0,,162.0,-1.0,1.0
3,,,,,,image-button-response,16,21511,0.0-3.0-1.0-2.0,,152.0,-1.0,1.0
4,,,,,,image-button-response,17,21680,0.0-3.0-1.0-3.0,,167.0,-1.0,1.0
5,,,,,,image-button-response,18,21839,0.0-3.0-1.0-4.0,,155.0,-1.0,1.0
6,,,,,,image-button-response,19,22264,0.0-3.0-1.0-5.0,,423.0,-1.0,1.0
7,,,,,,image-button-response,20,22631,0.0-3.0-1.0-6.0,,364.0,-1.0,1.0
8,,,,,,image-button-response,21,22951,0.0-3.0-1.0-7.0,,318.0,-1.0,1.0
9,,,,,,image-button-response,22,23264,0.0-3.0-1.0-8.0,,310.0,-1.0,1.0
10,,,,,,image-button-response,23,23558,0.0-3.0-1.0-9.0,,293.0,-1.0,1.0
