,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,view_history,rt,response,condition
1,,,,,,image-button-response,2,2032,0.0-1.0-1.0-0.0,,485.0,-1.0,0.0
2,,,,,,image-button-response,3,2224,0.0-1.0-1.0-1.0,,185.0,-1.0,0.0
3,,,,,,image-button-response,4,2387,0.0-1.0-1.0-2.0,,159.0,-1.0,0.0
4,,,,,,image-button-response,5,2551,0.0-1.0-1.0-3.0,,161.0,-1.0,0.0
5,,,,,,image-button-response,6,2718,0.0-1.0-1.0-4.0,,161.0,-1.0,0.0
6,,,,,,image-button-response,7,2888,0.0-1.0-1.0-5.0,,163.0,-1.0,0.0
7,,,,,,image-button-response,8,3054,0.0-1.0-1.0-6.0,,161.0,-1.0,0.0
8,,,,,,image-button-response,9,3231,0.0-1.0-1.0-7.0,,171.0,-1.0,0.0
9,,,,,,image-button-response,10,3433,0.0-1.0-1.0-8.0,,195.0,-1.0,0.0
10,,,,,,image-button-response,11,3640,0.0-1.0-1.0-9.0,,202.0,-1.0,0.0
