,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,view_history,rt,response,condition
1,,,,,,image-button-response,14,36371,0.0-3.0-1.0-0.0,,2612.0,1.0,1.0
2,,,,,,image-button-response,15,38180,0.0-3.0-1.0-1.0,,1803.0,-1.0,1.0
3,,,,,,image-button-response,16,39245,0.0-3.0-1.0-2.0,,1060.0,1.0,1.0
4,,,,,,image-button-response,17,40823,0.0-3.0-1.0-3.0,,1573.0,1.0,1.0
5,,,,,,image-button-response,18,43398,0.0-3.0-1.0-4.0,,2569.0,1.0,1.0
6,,,,,,image-button-response,19,44175,0.0-3.0-1.0-5.0,,771.0,-1.0,1.0
7,,,,,,image-button-response,20,45418,0.0-3.0-1.0-6.0,,1235.0,-1.0,1.0
8,,,,,,image-button-response,21,46142,0.0-3.0-1.0-7.0,,721.0,-1.0,1.0
9,,,,,,image-button-response,22,46678,0.0-3.0-1.0-8.0,,526.0,-1.0,1.0
10,,,,,,image-button-response,23,47214,0.0-3.0-1.0-9.0,,531.0,1.0,1.0
