,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,view_history,rt,response,condition
1,,,,,,image-button-response,2,6966,0.0-1.0-1.0-0.0,,653.0,1.0,0.0
2,,,,,,image-button-response,3,7744,0.0-1.0-1.0-1.0,,766.0,-1.0,0.0
3,,,,,,image-button-response,4,8576,0.0-1.0-1.0-2.0,,815.0,1.0,0.0
4,,,,,,image-button-response,5,9857,0.0-1.0-1.0-3.0,,1255.0,-1.0,0.0
5,,,,,,image-button-response,6,10689,0.0-1.0-1.0-4.0,,812.0,1.0,0.0
6,,,,,,image-button-response,7,11505,0.0-1.0-1.0-5.0,,796.0,-1.0,0.0
7,,,,,,image-button-response,8,12681,0.0-1.0-1.0-6.0,,1159.0,1.0,0.0
8,,,,,,image-button-response,9,13401,0.0-1.0-1.0-7.0,,697.0,-1.0,0.0
9,,,,,,image-button-response,10,14066,0.0-1.0-1.0-8.0,,643.0,1.0,0.0
10,,,,,,image-button-response,11,14616,0.0-1.0-1.0-9.0,,527.0,-1.0,0.0
