,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,view_history,rt,response,condition
1,,,,,,image-button-response,14,9140,0.0-3.0-1.0-0.0,,702.0,1.0,1.0
2,,,,,,image-button-response,15,9300,0.0-3.0-1.0-1.0,,160.0,1.0,1.0
3,,,,,,image-button-response,16,9452,0.0-3.0-1.0-2.0,,151.0,1.0,1.0
4,,,,,,image-button-response,17,9603,0.0-3.0-1.0-3.0,,150.0,1.0,1.0
5,,,,,,image-button-response,18,9763,0.0-3.0-1.0-4.0,,159.0,1.0,1.0
6,,,,,,image-button-response,19,9915,0.0-3.0-1.0-5.0,,150.0,1.0,1.0
7,,,,,,image-button-response,20,10404,0.0-3.0-1.0-6.0,,486.0,-1.0,1.0
8,,,,,,image-button-response,21,10572,0.0-3.0-1.0-7.0,,166.0,-1.0,1.0
9,,,,,,image-button-response,22,10731,0.0-3.0-1.0-8.0,,158.0,-1.0,1.0
10,,,,,,image-button-response,23,10884,0.0-3.0-1.0-9.0,,151.0,-1.0,1.0
