,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,view_history,rt,response,condition
1,,,,,,image-button-response,2,2952,0.0-1.0-1.0-0.0,,1051.0,1.0,0.0
2,,,,,,image-button-response,3,3615,0.0-1.0-1.0-1.0,,659.0,-1.0,0.0
3,,,,,,image-button-response,4,4153,0.0-1.0-1.0-2.0,,532.0,1.0,0.0
4,,,,,,image-button-response,5,4728,0.0-1.0-1.0-3.0,,571.0,-1.0,0.0
5,,,,,,image-button-response,6,5245,0.0-1.0-1.0-4.0,,512.0,1.0,0.0
6,,,,,,image-button-response,7,5714,0.0-1.0-1.0-5.0,,466.0,1.0,0.0
7,,,,,,image-button-response,8,6233,0.0-1.0-1.0-6.0,,516.0,1.0,0.0
8,,,,,,image-button-response,9,6755,0.0-1.0-1.0-7.0,,515.0,1.0,0.0
9,,,,,,image-button-response,10,7285,0.0-1.0-1.0-8.0,,522.0,1.0,0.0
10,,,,,,image-button-response,11,7810,0.0-1.0-1.0-9.0,,516.0,1.0,0.0
