,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,view_history,rt,response,condition
1,,,,,,image-button-response,2,2375,0.0-1.0-1.0-0.0,,577.0,-1.0,0.0
2,,,,,,image-button-response,3,2534,0.0-1.0-1.0-1.0,,151.0,-1.0,0.0
3,,,,,,image-button-response,4,2687,0.0-1.0-1.0-2.0,,145.0,-1.0,0.0
4,,,,,,image-button-response,5,2847,0.0-1.0-1.0-3.0,,154.0,-1.0,0.0
5,,,,,,image-button-response,6,3407,0.0-1.0-1.0-4.0,,554.0,1.0,0.0
6,,,,,,image-button-response,7,3566,0.0-1.0-1.0-5.0,,153.0,1.0,0.0
7,,,,,,image-button-response,8,4054,0.0-1.0-1.0-6.0,,483.0,1.0,0.0
8,,,,,,image-button-response,9,4574,0.0-1.0-1.0-7.0,,514.0,-1.0,0.0
9,,,,,,image-button-response,10,4982,0.0-1.0-1.0-8.0,,403.0,1.0,0.0
10,,,,,,image-button-response,11,5422,0.0-1.0-1.0-9.0,,434.0,-1.0,0.0
