,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,view_history,rt,response,condition
1,,,,,,image-button-response,14,11402,0.0-3.0-1.0-0.0,,551.0,-1.0,1.0
2,,,,,,image-button-response,15,11574,0.0-3.0-1.0-1.0,,171.0,-1.0,1.0
3,,,,,,image-button-response,16,11726,0.0-3.0-1.0-2.0,,152.0,-1.0,1.0
4,,,,,,image-button-response,17,11907,0.0-3.0-1.0-3.0,,179.0,-1.0,1.0
5,,,,,,image-button-response,18,12069,0.0-3.0-1.0-4.0,,160.0,-1.0,1.0
6,,,,,,image-button-response,19,12245,0.0-3.0-1.0-5.0,,174.0,-1.0,1.0
7,,,,,,image-button-response,20,12416,0.0-3.0-1.0-6.0,,171.0,-1.0,1.0
8,,,,,,image-button-response,21,13059,0.0-3.0-1.0-7.0,,641.0,1.0,1.0
9,,,,,,image-button-response,22,13400,0.0-3.0-1.0-8.0,,339.0,1.0,1.0
10,,,,,,image-button-response,23,13773,0.0-3.0-1.0-9.0,,370.0,1.0,1.0
