,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,view_history,rt,response,condition
1,,,,,,image-button-response,2,12916,0.0-1.0-1.0-0.0,,611.0,1.0,0.0
2,,,,,,image-button-response,3,13539,0.0-1.0-1.0-1.0,,603.0,-1.0,0.0
3,,,,,,image-button-response,4,14035,0.0-1.0-1.0-2.0,,480.0,1.0,0.0
4,,,,,,image-button-response,5,14923,0.0-1.0-1.0-3.0,,873.0,-1.0,0.0
5,,,,,,image-button-response,6,15459,0.0-1.0-1.0-4.0,,519.0,1.0,0.0
6,,,,,,image-button-response,7,16084,0.0-1.0-1.0-5.0,,607.0,-1.0,0.0
7,,,,,,image-button-response,8,16610,0.0-1.0-1.0-6.0,,508.0,1.0,0.0
8,,,,,,image-button-response,9,16961,0.0-1.0-1.0-7.0,,336.0,1.0,0.0
9,,,,,,image-button-response,10,17288,0.0-1.0-1.0-8.0,,320.0,1.0,0.0
10,,,,,,image-button-response,11,17916,0.0-1.0-1.0-9.0,,619.0,1.0,0.0
