,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,view_history,rt,response,condition
1,,,,,,image-button-response,14,7651,0.0-3.0-1.0-0.0,,653.0,-1.0,1.0
2,,,,,,image-button-response,15,7803,0.0-3.0-1.0-1.0,,149.0,-1.0,1.0
3,,,,,,image-button-response,16,8162,0.0-3.0-1.0-2.0,,359.0,1.0,1.0
4,,,,,,image-button-response,17,8323,0.0-3.0-1.0-3.0,,160.0,1.0,1.0
5,,,,,,image-button-response,18,8467,0.0-3.0-1.0-4.0,,142.0,1.0,1.0
6,,,,,,image-button-response,19,8875,0.0-3.0-1.0-5.0,,406.0,-1.0,1.0
7,,,,,,image-button-response,20,9258,0.0-3.0-1.0-6.0,,382.0,1.0,1.0
8,,,,,,image-button-response,21,9707,0.0-3.0-1.0-7.0,,447.0,-1.0,1.0
9,,,,,,image-button-response,22,9875,0.0-3.0-1.0-8.0,,165.0,-1.0,1.0
10,,,,,,image-button-response,23,10434,0.0-3.0-1.0-9.0,,558.0,1.0,1.0
